sku,nombre,categoria,precio,stock,stock_minimo
SKU00092,Monitor Razer,Electronica,11654.28,10,5
SKU00093,SSD Asus,Almacenamiento,3159.23,12,30
SKU00094,MacBook Lenovo,Electronica,44744.75,29,20
SKU00095,Regulador,Energia,912.87,33,20
SKU00096,Audifonos Gaming,Audio,712.69,19,10
SKU00097,Audifonos Bluetooth WD,Audio,488.65,7,15
SKU00098,Tarjeta Video Canon,Componentes,2944.95,1,5
SKU00099,NAS Epson,Almacenamiento,6438.50,13,5
SKU00100,Touchpad Canon,Accesorios,829.16,34,15
SKU00101,Procesador Gigabyte,Componentes,6646.08,4,5
SKU00102,Audifonos Dell,Audio,474.41,87,30
SKU00103,MacBook LG,Electronica,21138.19,2,5
SKU00104,Pantalla Portatil Kingston,Electronica,5840.90,20,25
SKU00105,SSD BenQ,Almacenamiento,2960.18,7,15
SKU00106,Audifonos LG,Audio,643.11,0,20
SKU00107,Notebook LG,Electronica,13680.18,42,25
SKU00108,Tarjeta Video Seagate,Componentes,16888.19,71,50
SKU00109,Audifonos Corsair,Audio,255.71,17,15
SKU00110,Monitor 4K Canon,Electronica,25356.42,59,30
SKU00111,Mouse WD,Accesorios,228.99,1,5
SKU00112,USB Drive Seagate,Almacenamiento,253.11,30,25
SKU00113,SSD Externo Sony,Almacenamiento,2910.16,74,50
SKU00114,Monitor Gaming,Electronica,16289.43,50,20
SKU00115,RAM BenQ,Componentes,2529.48,35,20
SKU00116,Teclado Gaming WD,Accesorios,3641.74,43,15
SKU00117,Ultrabook Samsung,Electronica,20482.57,28,25
SKU00118,HDD Externo Samsung,Almacenamiento,1008.68,11,30
SKU00119,HDD Externo SanDisk,Almacenamiento,1709.88,36,25
SKU00120,Monitor Gaming WD,Electronica,22951.53,43,30
SKU00121,NAS TP-Link,Almacenamiento,6282.14,22,10
SKU00122,Pantalla Portatil SanDisk,Electronica,7193.41,41,30
SKU00123,Monitor Curvo Acer,Electronica,7820.08,47,30
SKU00124,Audifonos Bluetooth Anker,Audio,618.51,49,30
SKU00125,Teclado HP,Accesorios,997.94,21,15
SKU00126,Pantalla Portatil WD,Electronica,5275.43,17,20
SKU00127,Audifonos Gaming Razer,Audio,1426.89,11,5
SKU00128,Teclado BenQ,Accesorios,609.18,1,15
SKU00129,HDD Gigabyte,Almacenamiento,2541.69,21,30
SKU00130,Monitor Curvo Lenovo,Electronica,11336.32,31,30
SKU00131,MacBook Gigabyte,Electronica,48854.84,20,25
SKU00132,Extension Electrica,Energia,144.58,22,30
SKU00133,Mouse Samsung,Accesorios,309.00,36,15
SKU00134,SSD Externo Gigabyte,Almacenamiento,3459.34,11,15
SKU00135,Notebook Gigabyte,Electronica,9271.52,2,10
SKU00136,Monitor Gaming Corsair,Electronica,7039.90,4,5
SKU00137,HDD Externo Acer,Almacenamiento,928.77,36,30
SKU00138,Mouse Asus,Accesorios,379.87,1,20
SKU00139,MicroSD Kingston,Almacenamiento,691.95,48,50
SKU00140,Mouse Ergonomico Seagate,Accesorios,893.92,10,5
SKU00141,Pantalla Portatil HP,Electronica,2619.49,2,10
SKU00142,Ultrabook Gigabyte,Electronica,21592.86,95,50
SKU00143,Microfono Sony,Audio,1489.62,14,5
SKU00144,Barra Sonido Anker,Audio,3517.35,43,25
SKU00145,Audifonos Gaming BenQ,Audio,2581.99,4,5
SKU00146,Tarjeta Video SanDisk,Componentes,6818.01,19,10
SKU00147,Teclado Mecanico Razer,Accesorios,1895.31,73,30
SKU00148,USB Drive Apple,Almacenamiento,210.64,2,10
SKU00149,Stylus Sony,Accesorios,883.83,43,25
SKU00150,Audifonos LG,Audio,514.96,10,5
SKU00151,Microfono BenQ,Audio,2436.79,45,25
SKU00152,Bocina Bluetooth LG,Audio,2846.99,73,25
SKU00153,Chromebook Epson,Electronica,8702.11,39,15
SKU00154,SSD Externo Apple,Almacenamiento,1453.46,8,30
SKU00155,Chromebook Lenovo,Electronica,8401.01,19,25
SKU00156,Mouse Gaming LG,Accesorios,912.42,55,20
SKU00157,Audifonos Gaming Anker,Audio,1332.98,26,10
SKU00158,Audifonos Bluetooth Dell,Audio,2387.04,22,50
SKU00159,Chromebook Samsung,Electronica,13853.73,25,25
SKU00160,Teclado Apple,Accesorios,967.25,53,25
SKU00161,Pantalla Portatil Anker,Electronica,5134.42,84,30
SKU00162,Chromebook,Electronica,5251.99,19,15
SKU00163,MicroSD Apple,Almacenamiento,99.32,4,20
SKU00164,Soporte Monitor,Accesorios,1003.66,21,10
SKU00165,Teclado Mecanico LG,Accesorios,2107.85,123,50
SKU00166,Chromebook Samsung,Electronica,7190.51,52,30
SKU00167,Fuente Poder,Componentes,3542.33,0,5
SKU00168,MicroSD Xiaomi,Almacenamiento,453.35,31,20
SKU00169,Procesador,Componentes,11277.14,8,20
SKU00170,NAS WD,Almacenamiento,14962.55,19,20
SKU00171,Tarjeta Video BenQ,Componentes,14649.17,6,15
SKU00172,Chromebook BenQ,Electronica,9576.18,6,10
SKU00173,Procesador Corsair,Componentes,13478.86,33,30
SKU00174,MacBook Lenovo,Electronica,46299.56,5,30
SKU00175,Audifonos Bluetooth SanDisk,Audio,1208.01,13,5
SKU00176,Monitor 4K SanDisk,Electronica,22819.50,2,10
SKU00177,Chromebook BenQ,Electronica,6420.59,150,50
SKU00178,Teclado Gaming Apple,Accesorios,2888.33,1,20
SKU00179,Stylus Apple,Accesorios,1215.50,27,30
SKU00180,Mouse Ergonomico Epson,Accesorios,1212.12,35,30
SKU00181,HDD Externo Corsair,Almacenamiento,1066.75,44,15
SKU00182,Audifonos Bluetooth BenQ,Audio,1616.03,55,30
SKU00183,MicroSD LG,Almacenamiento,180.18,57,30
SKU00184,Ultrabook Logitech,Electronica,31697.26,8,15
SKU00185,Cable DisplayPort,Cables,196.63,55,25
SKU00186,Mouse Ergonomico HP,Accesorios,1338.60,6,5
SKU00187,Monitor HyperX,Electronica,5690.25,70,50
SKU00188,Audifonos Gaming Razer,Audio,537.79,48,30
SKU00189,RAM HyperX,Componentes,1626.91,5,5
SKU00190,Microfono USB Sony,Audio,1554.84,27,25
SKU00191,Notebook Logitech,Electronica,13329.31,72,25
SKU00192,Tarjeta Video Lenovo,Componentes,13845.11,1,5
SKU00193,Monitor Gaming HP,Electronica,14304.02,43,20
SKU00194,HDD Externo BenQ,Almacenamiento,2200.97,8,5
SKU00195,Touchpad Anker,Accesorios,1512.03,42,50
SKU00196,Audifonos Gaming Seagate,Audio,1648.97,16,50
SKU00197,Monitor 4K Anker,Electronica,24088.69,30,25
SKU00198,Laptop Dell,Electronica,11543.15,0,5
SKU00199,MacBook Dell,Electronica,30870.03,41,25
SKU00200,RAM Sony,Componentes,708.93,76,50
SKU00201,Bocina Bluetooth LG,Audio,1655.57,3,10
SKU00202,Laptop Acer,Electronica,15387.61,13,20
SKU00203,USB Drive TP-Link,Almacenamiento,148.15,2,5
SKU00204,HDD Externo LG,Almacenamiento,3193.10,12,50
SKU00205,Laptop Logitech,Electronica,23478.62,24,10
SKU00206,HDD Externo MSI,Almacenamiento,2189.64,20,30
SKU00207,Teclado Logitech,Accesorios,1574.99,12,5
SKU00208,Bocina Bluetooth Samsung,Audio,1475.25,22,15
SKU00209,Tarjeta Video Canon,Componentes,16341.92,29,50
SKU00210,Teclado Mecanico WD,Accesorios,1093.16,72,30
SKU00211,Monitor Gaming Logitech,Electronica,15511.74,44,15
SKU00212,NAS Corsair,Almacenamiento,16161.78,17,25
SKU00213,Monitor Gaming Epson,Electronica,19465.17,12,15
SKU00214,Stylus Lenovo,Accesorios,2373.62,11,30
SKU00215,Stylus Canon,Accesorios,1286.62,47,30
SKU00216,Mouse Gaming Epson,Accesorios,1532.73,102,50
SKU00217,Monitor 4K LG,Electronica,20666.53,4,50
SKU00218,RAM HP,Componentes,1245.70,140,50
SKU00219,Mouse Acer,Accesorios,553.51,8,15
SKU00220,Stylus SanDisk,Accesorios,901.47,28,15
SKU00221,Teclado Gaming Dell,Accesorios,2627.15,47,20
SKU00222,Bocina Bluetooth TP-Link,Audio,2799.87,1,15
SKU00223,Teclado Mecanico Asus,Accesorios,2638.47,26,50
SKU00224,Audifonos Gaming Acer,Audio,475.94,17,50
SKU00225,Microfono Kingston,Audio,2151.21,107,50
SKU00226,Cartucho Tinta,Impresion,543.86,23,30
SKU00227,Ultrabook BenQ,Electronica,16643.39,111,50
SKU00228,Pasta Termica,Componentes,237.16,3,5
SKU00229,Pantalla Portatil Kingston,Electronica,4110.34,18,15
SKU00230,Ultrabook BenQ,Electronica,32176.22,22,25
SKU00231,Monitor 4K LG,Electronica,11828.47,21,30
SKU00232,HDD Externo SanDisk,Almacenamiento,1617.54,36,15
SKU00233,Teclado Logitech,Accesorios,489.10,65,30
SKU00234,Mouse Gaming Logitech,Accesorios,589.69,10,5
SKU00235,NAS Seagate,Almacenamiento,12811.01,13,15
SKU00236,Mouse Ergonomico SanDisk,Accesorios,644.24,14,10
SKU00237,HDD Gigabyte,Almacenamiento,1335.59,21,10
SKU00238,HDD MSI,Almacenamiento,1581.46,40,50
SKU00239,Licencia Adobe,Software,6067.65,57,20
SKU00240,Tarjeta Video Acer,Componentes,13873.39,42,20
SKU00241,Mouse Gaming LG,Accesorios,1410.05,52,20
SKU00242,Teclado Mecanico Kingston,Accesorios,2428.13,46,25
SKU00243,HDD HyperX,Almacenamiento,1178.96,15,5
SKU00244,Touchpad MSI,Accesorios,1560.73,15,5
SKU00245,Monitor Epson,Electronica,3468.47,24,10
SKU00246,Teclado Gaming HyperX,Accesorios,3329.12,66,30
SKU00247,MacBook Seagate,Electronica,23587.15,41,30
SKU00248,USB Drive Lenovo,Almacenamiento,262.02,150,50
SKU00249,Monitor Curvo Canon,Electronica,7796.89,4,10
SKU00250,Pantalla Portatil Apple,Electronica,3218.77,39,20
SKU00251,Mouse Ergonomico Samsung,Accesorios,528.82,15,10
SKU00252,Webcam 4K,Video,2731.59,96,50
SKU00253,Mochila Laptop,Accesorios,1618.20,11,15
SKU00254,Smartwatch,Electronica,5381.82,37,15
SKU00255,Mouse Ergonomico Seagate,Accesorios,948.95,9,10
SKU00256,Audifonos Bluetooth Logitech,Audio,789.31,63,30
SKU00257,Monitor Curvo Samsung,Electronica,12325.13,30,10
SKU00258,Mouse Seagate,Accesorios,569.37,10,15
SKU00259,USB Drive Epson,Almacenamiento,77.42,68,30
SKU00260,Mouse Gaming Xiaomi,Accesorios,1285.46,102,50
SKU00261,Microfono USB WD,Audio,1219.23,27,10
SKU00262,USB Drive Seagate,Almacenamiento,178.59,4,25
SKU00263,Monitor Gaming Logitech,Electronica,6719.14,17,10
SKU00264,Monitor Curvo Sony,Electronica,19611.77,47,20
SKU00265,HDD HP,Almacenamiento,776.71,42,15
SKU00266,Repetidor WiFi,Redes,1144.40,50,20
SKU00267,Tarjeta Video Xiaomi,Componentes,16684.60,51,25
SKU00268,USB Drive Apple,Almacenamiento,85.69,10,15
SKU00269,Pantalla Portatil Logitech,Electronica,7681.66,13,10
SKU00270,Monitor Curvo Canon,Electronica,4373.91,34,15
SKU00271,MacBook LG,Electronica,34825.44,13,10
SKU00272,Audifonos Gaming Apple,Audio,2131.89,7,10
SKU00273,Touchpad MSI,Accesorios,1491.11,23,20
SKU00274,Bocina WD,Audio,1467.12,23,20
SKU00275,Microfono USB TP-Link,Audio,1176.81,41,15
SKU00276,RAM Kingston,Componentes,1837.26,0,10
SKU00277,Teclado Mecanico Corsair,Accesorios,2220.29,58,25
SKU00278,Volante Gaming,Gaming,5011.45,13,15
SKU00279,Monitor Gaming,Electronica,8300.61,21,10
SKU00280,Adaptador WiFi,Redes,722.42,10,10
SKU00281,Tarjeta Video Dell,Componentes,17281.29,29,15
SKU00282,Monitor Gaming Razer,Electronica,18949.01,21,10
SKU00283,Bocina Bluetooth WD,Audio,2946.65,52,50
SKU00284,Control Gaming,Gaming,664.18,17,15
SKU00285,Control Gaming,Gaming,1402.87,21,10
SKU00286,Teclado Gaming Canon,Accesorios,2021.56,7,5
SKU00287,Mouse HyperX,Accesorios,219.68,10,5
SKU00288,Mouse Ergonomico Kingston,Accesorios,995.68,1,25
SKU00289,Laptop Logitech,Electronica,20823.88,1,5
SKU00290,Mouse Sony,Accesorios,153.05,7,5
SKU00291,HDD Externo Xiaomi,Almacenamiento,2879.04,7,5
SKU00292,Mouse Gaming Anker,Accesorios,1230.51,25,20
SKU00293,SSD Asus,Almacenamiento,4065.33,12,5
SKU00294,Ultrabook Acer,Electronica,13138.59,6,25
SKU00295,Teclado Mecanico Razer,Accesorios,1848.63,23,15
SKU00296,Ultrabook Dell,Electronica,24247.00,4,25
SKU00297,Audifonos Bluetooth Logitech,Audio,1563.82,86,30
SKU00298,HDD BenQ,Almacenamiento,1394.50,17,50
SKU00299,Teclado Epson,Accesorios,708.43,117,50
SKU00300,Mouse Ergonomico Logitech,Accesorios,1135.63,9,5
SKU00301,Microfono HP,Audio,1649.97,39,20
SKU00302,MicroSD MSI,Almacenamiento,913.52,10,5
SKU00303,Audifonos Bluetooth BenQ,Audio,1477.89,10,30
SKU00304,Barra Sonido Gigabyte,Audio,7617.63,24,15
SKU00305,MacBook SanDisk,Electronica,38317.93,37,50
SKU00306,Notebook Acer,Electronica,17874.69,7,10
SKU00307,Monitor SanDisk,Electronica,6911.53,50,25
SKU00308,Monitor Kingston,Electronica,12939.94,102,50
SKU00309,Pantalla Portatil Logitech,Electronica,3973.88,5,25
SKU00310,SSD Kingston,Almacenamiento,2613.72,34,30
SKU00311,Teclado Gaming HyperX,Accesorios,3047.10,15,25
SKU00312,MacBook Canon,Electronica,21687.96,2,50
SKU00313,Touchpad TP-Link,Accesorios,1478.71,15,5
SKU00314,MacBook HP,Electronica,36276.30,19,10
SKU00315,Audifonos Bluetooth,Audio,3539.97,81,30
SKU00316,Monitor Gaming SanDisk,Electronica,13447.48,14,5
SKU00317,Notebook Apple,Electronica,12776.34,20,10
SKU00318,Ultrabook Lenovo,Electronica,19961.13,82,30
SKU00319,Monitor Curvo Corsair,Electronica,13957.81,21,25
SKU00320,MacBook Lenovo,Electronica,44044.37,23,20
SKU00321,Pantalla Portatil HyperX,Electronica,4489.25,17,10
SKU00322,Bocina MSI,Audio,357.79,44,15
SKU00323,Ultrabook Dell,Electronica,14914.74,31,20
SKU00324,Barra Sonido Asus,Audio,4577.87,40,15
SKU00325,USB Drive,Almacenamiento,180.80,26,30
SKU00326,SSD Externo WD,Almacenamiento,2455.50,0,10
SKU00327,Audifonos LG,Audio,272.42,2,50
SKU00328,HDD Externo Apple,Almacenamiento,2851.63,11,5
SKU00329,Mousepad XL,Accesorios,297.90,41,20
SKU00330,Audifonos HyperX,Audio,422.17,23,30
SKU00331,Stylus Samsung,Accesorios,2155.50,6,20
SKU00332,Audifonos Gaming MSI,Audio,1260.60,62,25
SKU00333,Tarjeta Video HyperX,Componentes,26085.10,3,5
SKU00334,Mouse Ergonomico Anker,Accesorios,1061.35,24,10
SKU00335,Lampara Escritorio,Accesorios,1353.83,7,15
SKU00336,Bocina Bluetooth SanDisk,Audio,2890.78,29,25
SKU00337,Bocina Canon,Audio,268.77,8,5
SKU00338,Teclado Mecanico Dell,Accesorios,2783.08,1,5
SKU00339,USB Drive SanDisk,Almacenamiento,250.25,62,50
SKU00340,Teclado Gaming LG,Accesorios,1585.81,77,30
SKU00341,Licencia Adobe,Software,2821.08,29,30
SKU00342,Monitor 4K Canon,Electronica,23396.19,21,15
SKU00343,Chromebook HyperX,Electronica,9401.34,58,25
SKU00344,UPS,Energia,3561.69,94,50
SKU00345,HDD Externo Canon,Almacenamiento,1506.46,10,20
SKU00346,Lampara Escritorio,Accesorios,1040.41,46,20
SKU00347,Ultrabook HyperX,Electronica,24267.35,10,10
SKU00348,Barra Sonido Lenovo,Audio,6269.50,26,15
SKU00349,HDD Externo Sony,Almacenamiento,1411.04,39,50
SKU00350,Procesador BenQ,Componentes,5738.52,26,15
SKU00351,Touchpad MSI,Accesorios,699.24,31,30
SKU00352,SSD Externo Gigabyte,Almacenamiento,3089.75,78,30
SKU00353,MacBook Dell,Electronica,22105.07,65,25
SKU00354,Chromebook Razer,Electronica,11887.58,11,20
SKU00355,SSD Externo Razer,Almacenamiento,3986.21,5,25
SKU00356,Mousepad,Accesorios,198.42,42,15
SKU00357,NAS HP,Almacenamiento,18783.17,6,50
SKU00358,RAM Xiaomi,Componentes,1054.74,35,15
SKU00359,Notebook Epson,Electronica,15735.13,20,25
SKU00360,Pantalla Portatil Asus,Electronica,6315.32,22,25
SKU00361,Chromebook Canon,Electronica,5447.57,69,30
SKU00362,SSD Externo Samsung,Almacenamiento,1287.41,64,25
SKU00363,Audifonos Gaming Seagate,Audio,1577.55,20,20
SKU00364,SSD Externo Xiaomi,Almacenamiento,2783.01,32,15
SKU00365,Mouse Ergonomico Corsair,Accesorios,333.72,3,5
SKU00366,Chromebook HP,Electronica,8890.20,2,50
SKU00367,Monitor Curvo Epson,Electronica,9247.14,11,25
SKU00368,Monitor Gaming Acer,Electronica,12937.38,35,20
SKU00369,Monitor 4K MSI,Electronica,22913.11,59,25
SKU00370,MacBook Sony,Electronica,35753.74,9,25
SKU00371,Audifonos Gaming Corsair,Audio,1657.29,142,50
SKU00372,Microfono Canon,Audio,1875.90,74,50
SKU00373,Stylus Anker,Accesorios,1337.35,43,25
SKU00374,Mouse Gaming TP-Link,Accesorios,753.18,6,10
SKU00375,Microfono Anker,Audio,799.93,21,25
SKU00376,Ultrabook Samsung,Electronica,26318.34,59,20
SKU00377,Stylus Razer,Accesorios,844.06,73,50
SKU00378,Procesador Anker,Componentes,7127.42,37,15
SKU00379,Monitor 4K Logitech,Electronica,17470.18,38,15
SKU00380,Bocina Bluetooth Gigabyte,Audio,818.93,110,50
SKU00381,SSD Externo Samsung,Almacenamiento,1821.73,48,30
SKU00382,Barra Sonido Seagate,Audio,7148.96,6,5
SKU00383,MicroSD SanDisk,Almacenamiento,458.22,16,10
SKU00384,Microfono USB Anker,Audio,1479.41,36,25
SKU00385,Microfono USB Seagate,Audio,1984.11,113,50
SKU00386,Mouse Gaming Dell,Accesorios,2017.37,90,30
SKU00387,HDD Externo Epson,Almacenamiento,1814.76,27,50
SKU00388,Stylus,Accesorios,2340.55,12,5
SKU00389,Laptop Xiaomi,Electronica,21899.05,32,50
SKU00390,Mouse Gaming Logitech,Accesorios,1699.09,44,15
SKU00391,HDD TP-Link,Almacenamiento,1757.35,10,25
SKU00392,Monitor Curvo Kingston,Electronica,15478.00,9,15
SKU00393,SSD Externo Anker,Almacenamiento,1876.89,14,10
SKU00394,Ultrabook HyperX,Electronica,24178.57,2,15
SKU00395,Monitor Gaming Apple,Electronica,16811.54,14,5
SKU00396,RAM Corsair,Componentes,3116.53,43,20
SKU00397,SSD Externo Anker,Almacenamiento,6022.23,3,10
SKU00398,SSD Externo Lenovo,Almacenamiento,968.05,23,50
SKU00399,Audifonos Bluetooth HyperX,Audio,498.53,14,20
SKU00400,Touchpad Xiaomi,Accesorios,1627.99,60,25
SKU00401,Chromebook BenQ,Electronica,7819.00,11,20
SKU00402,Teclado Mecanico Anker,Accesorios,4256.78,24,15
SKU00403,Mouse Gaming Acer,Accesorios,766.00,9,10
SKU00404,NAS LG,Almacenamiento,13907.66,7,15
SKU00405,Tapete Gaming,Gaming,1259.28,57,25
SKU00406,Monitor Curvo Xiaomi,Electronica,14564.04,19,20
SKU00407,MicroSD Corsair,Almacenamiento,428.68,31,15
SKU00408,USB Drive Razer,Almacenamiento,126.74,24,10
SKU00409,Touchpad HP,Accesorios,1216.79,73,30
SKU00410,Mouse Ergonomico Lenovo,Accesorios,351.67,66,50
SKU00411,Notebook SanDisk,Electronica,10489.70,17,20
SKU00412,Laptop Lenovo,Electronica,14079.55,45,15
SKU00413,SSD BenQ,Almacenamiento,2503.79,133,50
SKU00414,Camara Seguridad,Video,3407.95,54,20
SKU00415,Microfono BenQ,Audio,2773.61,14,5
SKU00416,HDD Sony,Almacenamiento,715.27,45,25
SKU00417,Bocina Seagate,Audio,1817.76,26,10
SKU00418,SSD Externo Asus,Almacenamiento,5549.80,33,25
SKU00419,Ultrabook Xiaomi,Electronica,16518.89,12,50
SKU00420,Bocina Corsair,Audio,809.76,6,20
SKU00421,Tarjeta Video MSI,Componentes,17803.81,35,50
SKU00422,Teclado Gaming LG,Accesorios,1919.61,3,30
SKU00423,MacBook Xiaomi,Electronica,54856.14,35,30
SKU00424,Bocina WD,Audio,1197.95,34,50
SKU00425,SSD Gigabyte,Almacenamiento,3794.94,57,30
SKU00426,Teclado Logitech,Accesorios,1399.73,9,10
SKU00427,RAM Apple,Componentes,2232.66,59,20
SKU00428,Bocina Bluetooth Dell,Audio,3762.09,14,5
SKU00429,Teclado Kingston,Accesorios,672.67,9,15
SKU00430,Powerbank,Accesorios,1217.19,12,5
SKU00431,RAM Anker,Componentes,1346.16,29,10
SKU00432,Teclado Gaming Asus,Accesorios,1228.50,9,15
SKU00433,Bocina Dell,Audio,1503.49,0,15
SKU00434,HDD Externo Acer,Almacenamiento,3714.63,150,50
SKU00435,Chromebook LG,Electronica,9143.16,6,15
SKU00436,Stylus Acer,Accesorios,1797.21,2,15
SKU00437,Mouse Gaming LG,Accesorios,2164.77,4,5
SKU00438,Barra Sonido WD,Audio,6641.59,14,15
SKU00439,Monitor Xiaomi,Electronica,7224.42,47,25
SKU00440,RAM Xiaomi,Componentes,2925.42,12,15
SKU00441,Touchpad Sony,Accesorios,679.96,5,25
SKU00442,Camara Seguridad,Video,2608.51,2,20
SKU00443,Procesador,Componentes,13163.54,82,50
SKU00444,Pantalla Portatil Apple,Electronica,5555.57,3,5
SKU00445,MicroSD Corsair,Almacenamiento,259.94,21,10
SKU00446,Microfono USB MSI,Audio,2136.62,14,5
SKU00447,Docking Station,Cables,3257.54,37,20
SKU00448,USB Drive Corsair,Almacenamiento,297.63,13,30
SKU00449,Audifonos Gaming HyperX,Audio,855.22,19,50
SKU00450,Monitor Curvo Seagate,Electronica,17339.00,84,50
SKU00451,USB Drive Lenovo,Almacenamiento,108.90,50,20
SKU00452,Adaptador WiFi,Redes,642.59,81,30
SKU00453,Laptop,Electronica,26918.78,15,5
